Progress,Duration (in seconds),Finished,subID,Bot 1,Bot 2,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,A Check 1,E1,E2,E3,E4,F1,F2,F3,F4,A Check 2,G1,G2,G3,G4,I1,I2,I3,I4,Q94,Q98,Q100
100,303,1,25,2,4,1,7,1,7,1,6,5,1,6,1,1,4,1,5,6,1,3,7,1,7,1,7,7,7,1,3,1,3,1,3,1,7,1,7,1,21,2
100,347,1,26,2,4,1,7,1,7,1,7,7,1,7,2,1,7,2,3,7,1,3,7,1,7,1,5,1,7,1,3,3,3,3,3,1,7,1,6,2,32,6
100,293,1,27,2,4,1,7,1,7,1,7,7,1,6,2,1,5,1,6,5,1,3,7,1,7,1,7,2,7,2,3,6,2,6,2,4,6,1,6,1,36,3
100,93,1,28,2,4,5,5,5,5,4,4,5,5,3,5,5,5,3,3,3,3,3,4,4,5,5,3,5,3,3,3,4,3,4,3,5,3,5,5,1,29,3
100,95,1,29,2,4,2,2,3,3,2,3,2,2,2,3,3,2,2,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,3,2,3,3,2,2,32,3
100,367,1,30,2,4,1,7,1,7,2,7,7,2,7,2,2,7,2,6,6,2,3,7,2,7,2,7,1,7,1,3,3,3,3,2,3,7,2,7,1,39,3
100,202,1,31,2,4,1,7,1,7,1,6,7,1,6,2,2,6,1,7,7,1,3,6,2,6,2,7,1,7,1,3,6,5,6,5,2,7,2,7,1,30,3
100,409,1,32,2,4,2,7,2,7,3,6,7,3,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,7,2,3,6,2,6,2,2,6,2,6,2,48,3
100,364,1,33,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,5,1,5,3,1,7,1,7,1,38,3
100,418,1,34,2,4,1,7,1,7,6,6,6,1,6,2,2,6,2,6,5,2,3,7,1,7,1,5,1,5,1,3,5,2,3,2,1,6,1,6,1,52,3
100,264,1,35,2,4,3,4,4,4,3,3,1,5,4,2,5,5,4,4,4,6,3,4,3,3,4,5,1,6,1,3,4,4,4,4,2,4,4,3,1,23,3
100,170,1,36,2,4,3,7,2,6,1,7,7,1,4,2,4,5,2,3,5,1,3,7,3,2,2,6,1,1,1,3,3,1,1,1,1,7,2,6,1,25,1
100,82,1,37,2,4,2,3,2,4,2,2,3,2,2,2,3,4,3,3,2,3,3,3,3,2,2,2,3,2,2,3,3,3,2,2,2,2,2,3,2,32,3
100,183,1,38,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,5,5,1,3,7,1,7,1,7,1,7,1,3,1,1,1,1,1,7,1,7,2,25,3
100,228,1,39,2,4,1,7,1,7,1,7,7,1,6,1,1,6,1,6,7,1,3,7,1,7,1,7,1,7,1,3,2,1,2,1,1,7,1,6,2,56,3
100,370,1,40,2,4,1,7,1,2,1,7,7,1,7,2,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,6,1,7,1,1,7,1,7,1,36,6
100,475,1,41,2,4,1,7,1,7,7,7,7,7,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,1,6,1,6,1,7,1,7,1,25,3
100,511,1,42,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,7,3,6,3,1,7,1,7,2,48,3
100,238,1,43,2,4,3,2,3,1,3,1,3,2,1,3,4,2,1,1,2,2,3,3,1,4,2,3,4,2,3,3,3,2,1,3,3,3,2,1,2,49,3
100,259,1,44,2,4,1,7,1,7,2,7,7,2,6,2,2,6,1,7,6,1,3,7,2,7,1,7,2,6,2,3,3,5,5,5,1,6,1,6,2,29,3
100,490,1,45,2,4,1,7,1,7,6,7,7,1,4,1,1,4,1,7,4,1,3,7,1,7,1,7,1,7,1,3,3,2,2,1,1,7,1,7,1,41,3
100,504,1,46,2,4,1,6,1,6,3,6,7,3,7,2,2,3,3,7,6,2,3,7,1,7,1,7,1,7,1,3,6,2,6,2,5,7,2,7,2,24,5
100,315,1,47,2,4,1,7,1,7,1,7,7,1,4,1,1,4,1,4,4,1,3,7,1,7,1,6,1,6,1,3,6,3,6,4,3,7,3,7,1,37,3
100,274,1,48,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,1,1,1,1,1,7,1,7,1,38,2
100,319,1,49,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,1,3,1,3,1,7,1,7,1,29,3
100,194,1,50,2,4,3,4,5,6,1,4,1,1,2,1,3,3,6,5,4,2,3,5,6,7,7,1,2,2,2,3,3,5,2,4,7,3,6,1,2,32,3
100,302,1,51,2,4,7,7,2,7,1,7,7,1,6,2,1,6,1,7,7,2,1,7,4,7,2,1,1,6,1,3,6,2,7,2,2,7,1,7,2,52,3
100,277,1,52,2,4,2,7,2,7,2,7,7,2,7,2,2,7,2,7,7,2,3,7,2,7,2,7,2,7,2,3,7,2,7,2,2,7,2,7,1,34,3
100,264,1,53,2,4,2,6,2,6,6,6,6,3,3,3,2,2,6,5,6,3,3,6,2,6,2,7,2,7,2,3,6,2,6,2,6,7,2,6,1,31,1
100,201,1,54,2,4,2,2,4,7,6,4,5,4,6,5,4,3,3,3,3,2,3,2,5,6,4,6,5,3,6,3,1,4,1,2,3,5,6,7,1,40,3
100,271,1,55,2,4,4,4,4,4,2,6,6,2,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,3,2,2,2,2,2,4,2,4,1,25,3
100,540,1,56,2,4,1,7,1,7,1,7,7,1,1,1,3,1,1,4,7,1,3,7,1,7,1,7,7,7,1,3,7,1,7,1,1,7,1,7,1,33,3
100,569,1,57,2,4,2,6,2,6,5,6,6,3,5,3,3,5,3,5,5,3,3,6,3,6,2,6,3,5,2,3,3,3,2,2,5,6,3,6,1,30,2
100,601,1,58,2,4,1,7,1,7,1,7,7,1,6,1,1,6,1,6,6,1,3,7,1,7,1,7,1,7,1,3,2,3,2,4,2,7,2,7,1,58,3
100,510,1,59,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,3,1,3,1,1,7,1,7,2,39,3
100,631,1,60,2,4,1,7,1,7,1,7,7,1,7,1,1,1,1,7,6,1,3,7,1,7,1,7,1,6,1,3,3,1,3,1,1,7,1,7,1,24,3
100,237,1,61,2,4,1,5,1,6,2,5,5,1,3,2,2,4,3,4,4,3,3,5,2,6,1,6,2,5,2,3,4,1,3,2,2,7,1,7,1,26,3
100,234,1,62,2,4,6,6,3,6,6,6,6,6,3,3,2,3,3,2,3,2,3,6,3,6,2,5,6,6,3,3,3,3,6,2,6,6,6,6,1,26,3
100,176,1,63,2,4,1,7,1,7,2,7,7,2,4,1,1,4,1,2,3,1,3,7,1,7,1,4,3,4,1,3,4,1,4,1,2,7,2,7,2,36,2
100,122,1,64,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,7,1,7,1,1,7,1,7,1,25,3
100,441,1,65,2,4,2,5,2,5,3,4,5,3,5,3,3,4,4,3,3,5,3,4,5,3,4,5,5,2,4,3,5,4,3,3,5,5,5,2,1,28,5
100,397,1,66,2,4,1,7,1,7,5,7,7,2,7,2,1,7,1,7,7,1,3,7,2,7,2,7,1,7,1,3,6,3,6,3,2,7,1,7,2,47,3
100,355,1,67,2,4,1,6,1,6,1,6,6,1,3,1,1,6,1,3,6,1,3,7,2,7,1,7,1,7,1,3,3,1,2,2,1,7,1,7,1,33,3
100,312,1,68,2,4,1,7,1,7,5,7,7,6,7,1,1,6,2,7,6,2,3,7,1,7,1,7,1,7,1,3,6,3,6,3,5,7,5,6,1,55,3
100,321,1,69,2,4,1,7,1,7,1,6,7,1,6,2,1,6,2,6,6,2,3,6,2,7,1,6,2,7,2,3,7,2,7,2,4,7,2,7,2,63,3
100,772,1,70,2,4,2,6,2,6,6,6,7,5,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,3,2,2,2,2,6,7,6,6,2,29,1
100,791,1,71,2,4,5,7,4,7,5,5,5,5,6,6,7,6,6,5,7,7,3,6,6,7,7,4,3,6,7,3,3,3,3,3,6,7,7,6,2,38,2
100,365,1,72,2,4,2,6,2,6,2,6,6,2,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,3,2,2,2,2,2,6,2,6,2,62,3
100,220,1,73,2,4,1,7,1,7,3,7,5,1,3,2,2,3,1,3,1,1,3,5,1,7,1,6,6,7,1,3,2,1,2,1,1,7,1,7,1,31,3
100,246,1,74,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,7,1,7,1,1,7,1,7,1,37,3
100,278,1,75,2,4,2,7,1,7,2,7,7,2,7,2,2,7,2,7,7,1,3,7,2,7,2,7,2,7,2,3,7,1,7,1,2,7,2,7,2,33,3
100,229,1,76,2,4,2,5,5,5,3,3,5,3,3,3,3,3,5,5,5,5,4,3,3,3,5,5,3,3,3,5,5,3,5,5,3,3,3,3,1,72,3
100,461,1,77,2,4,7,7,1,7,3,1,4,1,1,3,7,7,1,1,7,1,3,3,1,3,4,7,7,7,7,3,1,1,1,1,1,7,7,7,1,48,3
100,726,1,78,2,4,2,6,2,6,2,5,6,2,5,2,2,5,2,6,6,2,3,6,2,6,2,6,2,6,2,3,5,6,5,6,2,7,2,7,1,29,3
100,213,1,79,2,4,1,2,2,1,2,1,1,2,2,2,1,1,2,1,1,2,3,1,1,2,3,1,1,2,2,3,2,1,2,1,3,1,2,1,2,38,5
100,799,1,80,2,4,1,7,1,7,1,7,7,1,3,2,2,3,2,3,3,1,3,7,2,7,1,7,1,7,1,3,6,2,6,1,2,7,1,7,1,36,3
100,879,1,81,2,4,1,7,1,7,4,7,7,2,7,2,2,7,5,7,7,2,3,5,1,7,1,5,1,6,1,3,5,1,5,2,2,7,2,6,2,40,5
100,639,1,82,2,4,1,7,1,7,1,7,7,1,4,1,1,4,2,2,2,1,3,6,1,7,1,7,2,7,1,3,7,1,7,1,1,6,1,7,1,28,5
100,865,1,83,2,4,1,7,1,7,2,7,7,1,7,2,2,6,1,7,7,1,3,7,1,7,1,7,1,7,1,3,3,5,2,5,2,7,2,7,1,34,3
100,195,1,84,2,4,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,3,2,2,2,1,1,2,1,2,3,2,2,1,2,2,1,1,2,1,30,1
100,987,1,85,2,4,1,7,1,7,2,7,7,1,4,1,1,4,1,4,2,1,3,7,7,7,1,6,1,6,1,3,1,1,1,2,1,7,1,7,1,39,3
100,216,1,86,2,4,2,6,2,6,2,6,6,2,6,2,2,2,2,6,2,2,3,6,2,6,2,6,2,6,2,3,2,2,6,6,2,6,2,6,1,25,3
100,185,1,87,2,4,1,7,1,7,1,4,4,1,4,1,1,4,1,4,2,1,3,7,1,6,1,7,1,7,1,3,7,1,7,1,1,6,1,6,1,37,3
100,174,1,88,2,4,1,7,1,7,1,7,7,1,7,1,1,7,4,4,7,1,3,7,1,7,1,4,1,7,1,3,7,1,7,1,1,4,1,7,1,35,3
100,256,1,89,2,4,2,6,2,6,2,6,6,2,5,2,2,5,2,5,5,2,3,6,2,6,2,6,2,6,2,3,2,2,2,2,2,6,2,6,1,56,3
100,466,1,90,2,4,1,7,1,7,1,7,7,2,7,1,1,7,2,7,7,1,3,7,1,7,1,7,1,7,1,3,2,4,2,4,2,7,1,7,1,46,1
100,269,1,91,2,4,1,7,1,7,1,6,7,1,6,1,1,6,2,5,3,1,3,7,1,6,1,7,1,7,1,3,7,1,3,1,1,7,1,6,2,32,3
100,724,1,92,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,1,2,1,3,1,7,1,7,1,58,3
100,1087,1,93,2,4,1,7,1,7,2,7,7,1,3,3,3,3,4,2,2,2,3,7,2,7,1,1,3,7,2,3,2,2,1,3,7,7,2,7,1,28,3
100,575,1,94,2,4,2,7,2,7,6,7,7,5,7,2,2,7,2,7,7,2,3,7,2,7,2,7,2,7,2,3,3,5,3,5,5,7,5,7,1,44,3
100,266,1,95,2,4,2,5,2,6,2,6,6,1,6,3,3,5,3,5,5,2,3,5,2,6,2,6,2,6,2,3,6,2,4,2,2,6,2,6,1,35,3
100,195,1,96,2,4,2,1,3,3,2,3,2,1,2,2,1,3,1,3,2,2,3,1,2,3,3,1,3,2,2,3,1,2,3,3,3,1,3,2,1,30,1
100,177,1,97,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,5,1,6,1,1,7,1,7,1,27,3
100,305,1,98,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,3,1,3,1,1,7,1,7,1,32,3
100,475,1,99,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,1,1,1,1,1,7,1,7,1,32,3
100,773,1,100,2,4,1,7,1,7,1,7,7,1,6,2,1,7,1,5,7,1,3,7,1,7,1,7,1,7,1,3,2,5,3,5,2,7,1,7,1,31,5
100,478,1,101,2,4,3,5,4,7,1,4,7,1,3,2,4,5,2,3,1,4,3,3,4,1,2,1,5,3,3,3,6,2,3,4,2,7,3,7,1,31,1
100,310,1,102,2,4,3,2,3,1,3,1,2,2,1,3,3,3,4,3,2,4,3,3,1,4,2,1,3,3,2,3,3,1,1,2,2,3,3,1,1,33,3
100,411,1,103,2,4,2,3,2,3,3,3,2,2,2,2,3,2,3,3,2,5,3,2,3,4,2,2,2,3,3,3,3,3,4,2,3,2,3,2,2,28,5
100,308,1,104,2,4,5,4,3,3,3,3,2,2,5,3,3,6,5,6,6,4,3,3,5,2,3,4,4,5,3,3,3,5,6,6,6,3,5,6,1,28,3
100,177,1,105,2,4,2,3,7,5,2,3,4,1,7,6,4,1,5,3,5,3,3,3,7,4,4,1,6,3,4,3,5,7,1,4,7,2,2,1,1,28,3
100,295,1,106,2,4,4,3,2,1,2,3,4,4,4,3,3,2,2,1,4,3,3,2,4,3,2,2,1,4,3,3,4,2,2,3,4,4,2,3,1,28,5
100,1137,1,107,2,4,2,6,2,6,2,6,6,2,6,2,2,6,3,6,6,3,3,6,2,6,2,6,2,6,2,3,2,2,2,2,6,6,6,6,1,42,1
100,278,1,108,2,4,1,7,1,7,1,7,7,2,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,1,1,1,2,1,7,1,7,2,44,3
100,391,1,109,2,4,1,7,1,7,1,7,7,2,7,1,1,6,5,5,5,2,3,7,2,7,1,7,1,7,1,3,3,3,3,2,6,7,6,7,1,35,3
100,390,1,110,2,4,2,6,2,6,2,6,6,2,6,2,2,6,2,5,6,2,3,6,2,6,2,6,2,6,2,3,3,2,2,2,2,6,2,6,1,29,3
100,298,1,111,2,4,1,7,1,7,5,7,7,5,7,2,2,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,5,2,5,2,1,7,1,7,1,28,3
100,222,1,112,2,4,1,7,1,7,1,7,7,1,7,3,3,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,4,4,4,4,1,7,1,7,2,48,3
100,180,1,113,2,4,3,6,3,4,3,1,5,5,6,3,4,2,2,3,5,1,3,7,7,7,1,2,3,1,4,3,3,5,2,4,5,4,3,2,1,25,2
100,375,1,114,2,4,1,7,1,7,1,7,6,1,7,2,1,7,1,7,7,1,3,7,1,7,1,6,1,6,1,3,5,2,5,2,2,7,2,7,1,55,3
100,540,1,115,2,4,1,7,1,7,2,4,7,2,4,1,1,6,1,4,7,1,3,7,1,7,1,5,2,7,1,3,6,1,4,1,2,7,1,6,1,42,3
100,1260,1,116,2,4,3,6,2,6,2,6,6,2,6,2,2,6,3,5,5,2,3,6,2,6,2,6,2,6,2,3,7,2,6,1,2,6,2,6,1,22,3
100,392,1,117,2,4,3,4,3,5,2,7,7,2,4,4,3,4,2,6,6,2,3,4,4,4,4,4,4,4,4,3,4,3,3,4,3,2,2,3,1,30,3
100,1104,1,118,2,4,1,7,1,7,7,7,7,1,6,1,1,6,1,5,6,1,3,6,2,6,6,7,1,7,1,3,7,1,7,1,1,7,1,7,2,24,3
100,283,1,119,2,4,3,4,2,3,4,1,3,2,1,4,2,3,4,2,2,2,3,2,2,3,4,4,2,4,3,3,3,4,2,4,1,3,4,2,2,28,5
100,448,1,120,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,2,1,2,1,1,7,1,7,2,64,3
100,369,1,121,2,4,2,3,2,6,3,4,4,2,5,4,4,4,3,4,4,4,3,4,4,6,2,4,3,5,2,3,4,3,4,3,2,6,2,6,1,32,5
100,377,1,122,2,4,2,7,1,6,2,6,6,2,6,1,1,6,2,6,6,2,3,6,1,7,1,7,1,7,1,3,2,1,3,1,1,7,2,7,2,37,3
100,357,1,123,2,4,6,5,5,3,6,5,4,3,3,5,3,4,4,3,5,5,3,5,4,6,5,6,5,4,5,3,5,4,6,3,5,3,5,4,1,28,3
100,271,1,124,2,4,2,7,1,7,1,5,6,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,5,3,4,3,2,7,1,7,1,31,3
100,670,1,125,2,4,2,6,2,6,3,6,6,3,6,2,2,6,2,6,6,2,3,6,3,6,3,6,2,6,2,3,5,2,6,2,3,6,3,6,2,65,3
100,669,1,126,2,4,2,6,2,6,3,6,7,2,3,3,2,3,2,6,6,2,3,7,2,6,2,6,1,7,1,3,6,5,6,6,1,6,1,6,2,58,3
100,373,1,127,2,4,1,7,1,7,1,7,7,1,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,4,1,4,1,1,7,1,7,1,27,6
100,311,1,128,2,4,1,7,1,7,2,7,7,2,7,1,1,7,1,7,7,1,3,7,1,7,1,7,1,7,1,3,5,2,5,3,1,7,1,7,1,33,3
100,638,1,129,2,4,2,6,2,6,5,6,6,2,6,2,2,6,2,4,6,2,3,6,2,6,2,6,2,6,2,3,6,5,6,5,2,6,2,6,2,33,1
100,277,1,130,2,4,1,7,1,7,1,6,7,1,7,2,2,7,1,7,6,1,3,7,1,7,1,6,1,6,1,3,3,3,4,2,2,7,1,6,2,25,3
100,103,1,131,2,4,6,5,7,6,6,6,5,7,5,5,6,5,3,3,3,4,3,3,3,2,3,6,5,6,5,3,6,5,6,5,7,6,7,6,1,23,3
100,417,1,132,2,4,1,7,1,7,7,1,1,7,1,7,7,1,7,1,1,7,3,1,7,1,7,2,2,1,7,3,7,7,7,7,7,1,7,1,1,26,3
100,183,1,133,2,4,4,4,2,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,1,35,6
100,818,1,134,2,4,1,7,1,7,3,7,7,2,7,1,1,7,1,6,6,1,3,7,1,7,1,7,1,1,1,3,7,1,7,1,6,7,5,7,1,40,3
100,834,1,135,2,4,1,7,1,7,1,7,7,1,7,1,1,7,2,7,7,2,3,7,1,7,1,7,2,7,2,3,6,6,6,5,2,7,2,7,2,30,3
100,347,1,136,2,4,1,7,1,7,1,7,7,1,7,1,1,7,2,7,7,1,3,7,1,7,1,7,1,7,1,3,6,1,6,1,1,7,1,7,1,37,3
100,233,1,137,2,4,1,7,1,7,1,7,7,1,6,2,2,6,2,6,6,2,3,7,1,7,1,7,1,7,1,3,2,1,2,1,1,7,1,7,1,30,6
100,359,1,138,2,4,2,7,2,6,2,6,6,2,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,3,3,3,3,3,2,6,2,6,2,21,3
100,260,1,139,2,4,1,7,1,7,2,7,7,1,7,1,1,7,1,6,7,1,3,7,1,7,1,7,1,7,1,3,2,1,3,1,1,7,1,7,2,45,3
100,510,1,140,2,4,2,7,1,7,3,6,6,2,5,2,1,6,2,5,5,2,3,6,2,6,1,6,2,6,2,3,5,4,3,2,2,6,2,6,2,47,3
100,284,1,141,2,4,2,7,2,7,2,2,7,2,7,2,2,7,2,5,5,2,3,6,6,6,1,7,2,7,2,3,4,2,3,2,2,7,2,7,1,32,5
100,519,1,142,2,4,3,1,2,3,1,2,3,3,2,3,3,1,3,2,1,2,3,1,2,2,3,3,1,2,3,3,3,1,1,3,1,1,3,2,1,28,5
100,810,1,143,2,4,2,2,3,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,3,2,3,2,2,3,3,3,3,2,2,3,3,2,2,3,1,38,1
100,135,1,144,2,4,2,6,2,6,2,6,6,2,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,3,5,3,5,3,2,6,2,6,2,26,3
100,801,1,145,2,4,2,3,1,1,3,2,1,4,3,4,3,2,1,4,4,2,3,3,1,2,3,4,1,2,3,3,1,4,3,2,2,3,4,2,2,28,5
100,525,1,146,2,4,6,4,5,5,6,4,5,4,6,4,4,5,5,5,5,4,3,4,6,5,5,4,4,6,6,3,5,3,5,6,3,6,4,5,2,36,3
100,194,1,147,2,4,3,3,4,4,3,3,4,4,3,4,5,4,4,3,4,4,3,4,2,4,3,3,4,5,3,3,4,3,3,5,3,5,4,4,1,29,3
100,254,1,148,2,4,2,6,2,6,2,6,6,2,6,2,2,6,2,6,6,2,3,6,2,6,2,6,2,6,2,3,2,2,6,2,2,6,2,6,2,29,3
100,311,1,149,2,4,1,7,1,7,2,7,7,2,4,1,1,4,2,4,4,2,3,7,1,7,1,6,2,6,2,3,2,6,2,6,2,6,2,6,2,33,3
100,184,1,150,2,4,2,3,1,2,1,2,3,2,1,3,2,4,2,3,1,3,3,2,3,2,1,2,3,1,2,3,3,2,1,2,2,1,3,2,1,30,1
